1.00	1.00	2	2
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.13	31	1881
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.20	10	732
2.00	1.08	12	1385
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	3	335
1.00	1.00	1	1
2.00	1.11	19	653
1.00	1.00	2	458
1.00	1.00	1	1
2.00	1.14	7	1063
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
3.00	3.00	1	1
2.00	1.50	2	150
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.50	2	270
2.00	2.00	1	1
2.00	2.00	1	1
2.00	1.02	46	2340
1.00	1.00	2	5
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	730
2.00	1.50	2	12
3.00	1.17	12	575
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	4	35
1.00	1.00	2	313
1.00	1.00	3	566
2.00	2.00	1	1
1.00	1.00	2	397
2.00	1.50	4	560
3.00	1.10	20	639
1.00	1.00	3	542
1.00	1.00	2	3
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.25	4	960
1.00	1.00	7	70
1.00	1.00	1	1
1.00	1.00	3	11
3.00	1.13	15	1351
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	3	525
2.00	2.00	1	1
1.00	1.00	2	429
2.00	2.00	1	1
2.00	2.00	2	2
1.00	1.00	9	707
1.00	1.00	1	1
1.00	1.00	5	314
1.00	1.00	7	1431
3.00	1.29	7	782
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
3.00	1.11	18	411
2.00	1.20	5	405
2.00	2.00	1	1
1.00	1.00	3	585
2.00	1.25	8	514
2.00	1.33	3	206
1.00	1.00	4	212
1.00	1.00	1	1
1.00	1.00	7	106
1.00	1.00	2	6
1.00	1.00	1	1
1.00	1.00	2	2
1.00	1.00	1	1
2.00	1.12	8	586
2.00	1.33	6	419
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
3.00	1.27	11	918
1.00	1.00	2	12
1.00	1.00	3	12
1.00	1.00	5	322
1.00	1.00	1	1
2.00	1.50	2	28
1.00	1.00	6	1079
2.00	2.00	1	1
2.00	1.03	31	1276
1.00	1.00	1	1
1.00	1.00	12	402
1.00	1.00	1	1
1.00	1.00	2	744
2.00	1.50	2	2
1.00	1.00	1	1
1.00	1.00	8	414
1.00	1.00	2	50
4.00	4.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	11	1164
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	24
1.00	1.00	2	113
5.00	4.00	2	2
1.00	1.00	5	332
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	3	7
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	81
1.00	1.00	8	17
1.00	1.00	7	643
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
3.00	3.00	1	1
2.00	1.07	30	2013
1.00	1.00	2	16
1.00	1.00	9	884
1.00	1.00	3	128
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	2	16
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	1197
1.00	1.00	2	968
1.00	1.00	1	1
3.00	1.25	12	1187
4.00	2.00	3	486
1.00	1.00	3	15
1.00	1.00	3	161
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	2.00	1	1
2.00	2.00	1	1
1.00	1.00	39	1712
1.00	1.00	4	232
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	3	8
2.00	1.50	2	4
1.00	1.00	15	552
1.00	1.00	15	1372
1.00	1.00	1	1
1.00	1.00	2	121
2.00	1.07	15	292
2.00	2.00	1	1
6.00	3.50	2	5
1.00	1.00	1	1
2.00	2.00	1	1
2.00	1.23	13	1251
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	7
3.00	1.67	3	301
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	554
1.00	1.00	2	348
1.00	1.00	2	116
4.00	4.00	1	1
1.00	1.00	8	502
2.00	1.50	2	19
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.09	11	784
1.00	1.00	1	1
1.00	1.00	12	834
2.00	1.50	2	7
1.00	1.00	2	134
1.00	1.00	2	194
2.00	1.04	28	1099
1.00	1.00	2	60
1.00	1.00	1	1
2.00	1.07	15	1582
1.00	1.00	7	902
1.00	1.00	1	1
2.00	1.17	6	572
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.19	16	1228
1.00	1.00	8	573
4.00	1.55	11	409
1.00	1.00	1	1
2.00	1.17	6	451
2.00	1.50	2	6
2.00	1.06	36	1357
1.00	1.00	2	229
3.00	1.25	12	765
1.00	1.00	1	1
2.00	1.08	13	1363
1.00	1.00	2	823
2.00	1.05	20	828
1.00	1.00	2	78
1.00	1.00	1	1
1.00	1.00	4	931
1.00	1.00	2	5
1.00	1.00	9	494
1.00	1.00	3	476
2.00	1.50	2	2
1.00	1.00	40	1944
1.00	1.00	15	1363
1.00	1.00	1	1
2.00	1.03	32	1994
1.00	1.00	11	1921
2.00	1.12	16	524
5.00	1.45	11	521
1.00	1.00	2	4
1.00	1.00	2	8
1.00	1.00	2	23
1.00	1.00	8	521
1.00	1.00	1	1
1.00	1.00	4	126
1.00	1.00	2	383
4.00	1.24	46	1124
1.00	1.00	32	1539
1.00	1.00	1	1
3.00	1.20	20	914
2.00	1.50	2	574
1.00	1.00	1	1
1.00	1.00	1	1
4.00	2.00	3	99
1.00	1.00	3	101
1.00	1.00	1	1
2.00	1.20	5	535
2.00	2.00	1	1
1.00	1.00	3	498
1.00	1.00	1	1
1.00	1.00	3	454
3.00	2.50	2	1482
1.00	1.00	1	1
1.00	1.00	5	904
1.00	1.00	2	11
3.00	3.00	1	1
1.00	1.00	2	2
2.00	1.50	2	214
1.00	1.00	3	17
1.00	1.00	1	1
1.00	1.00	2	254
1.00	1.00	1	1
1.00	1.00	5	1951
1.00	1.00	6	108
3.00	1.44	9	339
1.00	1.00	5	429
1.00	1.00	2	156
1.00	1.00	2	72
1.00	1.00	5	532
1.00	1.00	2	212
1.00	1.00	1	1
1.00	1.00	1	1
2.00	2.00	1	1
2.00	1.25	4	942
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	6	473
2.00	2.00	1	1
1.00	1.00	2	3
1.00	1.00	6	657
1.00	1.00	3	61
3.00	3.00	1	1
6.00	2.25	4	428
1.00	1.00	18	837
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.11	9	744
1.00	1.00	7	918
1.00	1.00	1	1
3.00	3.00	1	1
1.00	1.00	2	280
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	741
1.00	1.00	5	813
1.00	1.00	1	1
1.00	1.00	2	5
2.00	1.50	2	4
2.00	1.50	2	3
2.00	1.50	2	6
1.00	1.00	8	515
1.00	1.00	7	824
3.00	3.00	1	1
2.00	1.33	3	667
1.00	1.00	1	1
1.00	1.00	7	702
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	5	1403
1.00	1.00	1	1
1.00	1.00	4	46
1.00	1.00	1	1
1.00	1.00	4	525
1.00	1.00	2	139
3.00	3.00	1	1
1.00	1.00	2	272
1.00	1.00	1	1
1.00	1.00	3	904
1.00	1.00	2	44
2.00	2.00	1	1
1.00	1.00	2	1906
2.00	2.00	1	1
1.00	1.00	7	516
1.00	1.00	3	520
2.00	1.67	3	5
1.00	1.00	1	1
1.00	1.00	5	570
2.00	1.20	5	919
2.00	2.00	1	1
1.00	1.00	10	1287
4.00	2.50	2	776
2.00	1.10	21	1394
1.00	1.00	1	1
1.00	1.00	2	4
4.00	4.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	189
1.00	1.00	2	308
2.00	2.00	1	1
1.00	1.00	4	108
3.00	1.38	13	640
4.00	1.23	13	1267
1.00	1.00	1	1
1.00	1.00	11	875
1.00	1.00	2	1288
1.00	1.00	16	955
2.00	1.15	13	1504
1.00	1.00	1	1
1.00	1.00	26	910
1.00	1.00	1	1
1.00	1.00	5	285
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.17	6	1022
3.00	3.00	1	1
3.00	1.67	3	6
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	4	1212
2.00	1.07	15	1040
1.00	1.00	1	1
1.00	1.00	7	1018
2.00	1.17	6	603
1.00	1.00	1	1
1.00	1.00	4	765
2.00	1.29	17	1531
1.00	1.00	4	60
2.00	2.00	1	1
2.00	1.40	5	678
2.00	1.33	6	638
1.00	1.00	3	257
1.00	1.00	4	142
1.00	1.00	1	1
1.00	1.00	3	25
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	138
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	10
1.00	1.00	1	1
2.00	1.50	2	289
1.00	1.00	1	1
2.00	1.25	4	1596
1.00	1.00	11	764
2.00	2.00	1	1
2.00	1.30	10	1018
1.00	1.00	2	145
3.00	2.50	2	395
1.00	1.00	2	114
4.00	4.00	1	1
3.00	3.00	1	1
2.00	1.25	4	422
1.00	1.00	2	83
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	3	1259
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	183
1.00	1.00	4	869
1.00	1.00	1	1
1.00	1.00	2	101
3.00	2.00	2	4
1.00	1.00	3	430
1.00	1.00	1	1
1.00	1.00	6	1386
1.00	1.00	1	1
1.00	1.00	2	191
1.00	1.00	1	1
1.00	1.00	3	329
1.00	1.00	1	1
1.00	1.00	3	616
2.00	1.50	2	5
2.00	2.00	1	1
1.00	1.00	6	983
1.00	1.00	2	975
1.00	1.00	22	1402
1.00	1.00	5	969
2.00	1.10	10	1106
2.00	1.33	3	837
1.00	1.00	2	815
1.00	1.00	1	1
1.00	1.00	2	74
1.00	1.00	9	893
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	5	1712
1.00	1.00	2	231
1.00	1.00	4	230
2.00	1.12	8	1042
2.00	1.20	5	788
2.00	1.50	2	389
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	79
1.00	1.00	1	1
1.00	1.00	4	1122
1.00	1.00	1	1
1.00	1.00	2	14
1.00	1.00	16	1516
1.00	1.00	4	74
1.00	1.00	1	1
2.00	1.10	10	698
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.25	4	598
2.00	1.50	2	387
1.00	1.00	2	408
1.00	1.00	1	1
1.00	1.00	1	1
3.00	3.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	9	1363
2.00	1.33	3	455
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	3	527
1.00	1.00	5	317
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	3	842
1.00	1.00	2	538
2.00	1.33	3	864
1.00	1.00	1	1
2.00	2.00	1	1
2.00	2.00	1	1
1.00	1.00	3	139
1.00	1.00	2	9
1.00	1.00	1	1
1.00	1.00	3	142
1.00	1.00	3	507
1.00	1.00	1	1
2.00	1.14	7	455
1.00	1.00	4	185
1.00	1.00	2	4
3.00	1.20	10	549
1.00	1.00	11	831
1.00	1.00	1	1
1.00	1.00	21	1366
1.00	1.00	1	1
4.00	2.50	2	4
1.00	1.00	1	1
1.00	1.00	6	804
1.00	1.00	3	687
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.33	3	485
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	236
2.00	2.00	1	1
1.00	1.00	1	1
2.00	1.20	10	810
1.00	1.00	4	819
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	16	1784
3.00	3.00	1	1
2.00	1.20	5	963
2.00	1.20	10	932
6.00	6.00	1	1
2.00	1.33	3	938
3.00	1.44	9	637
2.00	2.00	2	297
1.00	1.00	5	716
2.00	2.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
2.00	1.07	15	1981
1.00	1.00	5	798
1.00	1.00	2	153
2.00	1.50	2	175
2.00	2.00	1	1
3.00	1.60	5	437
12.00	12.00	1	1
1.00	1.00	7	86
1.00	1.00	1	1
1.00	1.00	3	1062
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	865
1.00	1.00	1	1
1.00	1.00	3	39
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	2	25
2.00	2.00	1	1
1.00	1.00	2	112
1.00	1.00	2	217
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.50	2	16
1.00	1.00	1	1
1.00	1.00	2	3
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.06	16	1723
2.00	1.50	2	160
1.00	1.00	1	1
2.00	1.12	8	887
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	3	1303
1.00	1.00	1	1
1.00	1.00	12	1368
1.00	1.00	2	193
1.00	1.00	1	1
1.00	1.00	2	100
1.00	1.00	13	1743
1.00	1.00	1	1
1.00	1.00	1	1
4.00	2.50	2	26
1.00	1.00	2	349
1.00	1.00	2	29
1.00	1.00	1	1
2.00	1.17	6	1784
1.00	1.00	5	1159
1.00	1.00	4	218
2.00	1.50	2	18
1.00	1.00	2	45
2.00	2.00	1	1
1.00	1.00	2	10
1.00	1.00	2	523
1.00	1.00	1	1
1.00	1.00	4	464
1.00	1.00	2	19
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	35
1.00	1.00	1	1
1.00	1.00	5	1041
1.00	1.00	2	172
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	5	154
1.00	1.00	1	1
1.00	1.00	4	345
1.00	1.00	1	1
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	8	919
1.00	1.00	1	1
2.00	1.33	3	85
2.00	1.20	5	246
1.00	1.00	1	1
1.00	1.00	2	42
2.00	2.00	1	1
1.00	1.00	15	721
1.00	1.00	3	189
1.00	1.00	6	1060
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	5	664
1.00	1.00	5	545
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	605
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	7	1281
2.00	2.00	1	1
1.00	1.00	7	1170
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	2	481
1.00	1.00	1	1
1.00	1.00	3	736
3.00	1.38	13	504
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	6	569
3.00	3.00	1	1
1.00	1.00	3	55
2.00	2.00	1	1
1.00	1.00	14	396
3.00	1.40	5	452
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	6	504
1.00	1.00	1	1
2.00	2.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	5	164
1.00	1.00	3	85
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.67	3	57
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	626
1.00	1.00	1	1
1.00	1.00	3	230
1.00	1.00	7	329
1.00	1.00	2	109
2.00	2.00	1	1
1.00	1.00	5	492
1.00	1.00	1	1
1.00	1.00	2	95
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	12
1.00	1.00	5	1499
1.00	1.00	1	1
1.00	1.00	2	711
1.00	1.00	13	463
1.00	1.00	4	66
2.00	2.00	1	1
1.00	1.00	1	1
2.00	1.11	9	487
8.00	3.33	3	337
3.00	1.50	4	686
1.00	1.00	1	1
1.00	1.00	2	9
1.00	1.00	1	1
1.00	1.00	2	652
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.20	5	201
1.00	1.00	1	1
2.00	1.33	3	130
1.00	1.00	1	1
3.00	3.00	1	1
1.00	1.00	1	1
1.00	1.00	9	315
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	11	774
1.00	1.00	5	287
1.00	1.00	3	299
1.00	1.00	2	774
1.00	1.00	2	4
2.00	1.08	13	1225
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	1.20	5	183
2.00	1.17	6	876
2.00	1.33	3	165
1.00	1.00	1	1
1.00	1.00	3	276
1.00	1.00	2	464
1.00	1.00	3	114
2.00	1.50	2	259
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	87
1.00	1.00	3	992
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	2	457
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
1.00	1.00	1	1
2.00	2.00	1	1
